Tutorial Group,Total Students,Overall Avg CGPA,Group Number,Group Size,Group Students,Group Avg CGPA,Male Ratio,Female Ratio,School Diversity,GPA Variance,Gender Variance,Vector Displacement
G-1,50,4.1,Group 1,5,"Aarti Nair, Oliver Tan, Priya Singh, Ming Zhang, Sana Jain",4.12,0.4,0.6,5,0.0044,0.96,0.0715
G-1,50,4.1,Group 2,5,"Anya Kumar, Felix Yip, Savannah Taylor, Aarav Singh, Darren Lee",4.09,0.6,0.4,5,0.0039,0.96,0.0749
G-1,50,4.1,Group 3,5,"Mei Hong, Ajay Verma, Maria Ivanovna, Ananya Ramesh, Zachary Wu",4.07,0.6,0.4,5,0.0119,0.96,0.0751
G-1,50,4.1,Group 4,5,"Xun Wei, Isabella Thompson, Grace Turner, Vikram Desai, Anthony Liu",4.11,0.4,0.6,5,0.0028,0.96,0.0714
G-1,50,4.1,Group 5,5,"Henry Foster, Harlow Wang, Sakina Ahmed, Oleg Petrovich, Zara Chang",4.09,0.4,0.6,5,0.0041,0.96,0.0794
G-1,50,4.1,Group 6,5,"Mohit Desai, Areeba Khan, Lila Patel, Lucas Walker, Nhung Vu",4.08,0.4,0.6,5,0.0029,0.96,0.0874
G-1,50,4.1,Group 7,5,"Omer Ahmed, Nisha Das, Truong Minh Chau, Jett Morales, Karen Wong",4.05,0.4,0.6,5,0.0176,0.96,0.088
G-1,50,4.1,Group 8,5,"Jie Zhang, Vivi Dwi, Kathy Lau, Meera Singh, Nguyen Van Sam",4.11,0.4,0.6,5,0.0497,0.96,0.0954
G-1,50,4.1,Group 9,5,"Adlan Bin Rahman, Nurul Shafika, Prerna Gupta, Anjali Patel, Siddharth Nair",4.1,0.4,0.6,5,0.0047,0.96,0.1353
G-1,50,4.1,Group 10,5,"Gabriel Young, Amelia Kim, Han Li, Karen Lee, Layla Torres",4.15,0.2,0.8,5,0.0429,0.64,0.1535
G-10,50,4.12,Group 1,5,"Jaxon Hall, Ayesha Javed, Christopher Miller, Nina Bennett, Kiran Farooq",4.12,0.4,0.6,5,0.0012,0.96,0.1044
G-10,50,4.12,Group 2,5,"Rizan Bin Ahmad, Mia Zhang, Yasir Ahmad, Kerry Lim, Soo-Young Kim",4.14,0.4,0.6,5,0.0463,0.96,0.0966
G-10,50,4.12,Group 3,5,"Adrian Castillo, Tatum Flores, Hae-Jin Lee, Xiao Chen, Alyssa Green",4.12,0.4,0.6,5,0.0538,0.96,0.0964
G-10,50,4.12,Group 4,5,"Ming Wei, Tianming, Michael Miller, Rhea Lee, Kaya Chang",4.09,0.4,0.6,5,0.0087,0.96,0.1046
G-10,50,4.12,Group 5,5,"Hassan Malik, Dante Wu, Kiara Lin, Nurul Aini Binti Ahmad, Hunter Wilson",4.11,0.6,0.4,5,0.0049,0.96,0.1096
G-10,50,4.12,Group 6,5,"Will Chen, Zaki Bin Ibrahim, Paula Wong, Tanya Lee, Tao Liu",4.08,0.6,0.4,5,0.0063,0.96,0.1102
G-10,50,4.12,Group 7,5,"Sho Nakajima, Cheng Zhang, Kira Yamada, Hendra Mulyana, Yasmine Villanueva",4.15,0.6,0.4,5,0.0095,0.96,0.1099
G-10,50,4.12,Group 8,5,"Freya Chen, Isaiah Scott, Kendrick Alvarado, Yuzhi, Nina Patil",4.15,0.6,0.4,5,0.0034,0.96,0.11
G-10,50,4.12,Group 9,5,"Ananya Singh, Leo Xu, Liam Jones, Benjamin Turner, Ximena Fernandez",4.14,0.6,0.4,5,0.0029,0.96,0.1257
G-10,50,4.12,Group 10,5,"Sophie Cheung, Rhea Kapoor, Xander Cook, Rhys Tan, Marco Garcia",4.08,0.6,0.4,4,0.0046,0.96,0.158
G-100,50,4.09,Group 1,5,"Fangling, Peter Choi, Mia Hall, Ali Rehman, Wesley Turner",4.1,0.6,0.4,5,0.0079,0.96,0.0964
G-100,50,4.09,Group 2,5,"Maya Ong, Jordan Chen, Isabella Thomas, Yasir Qureshi, Hua Zhang",4.07,0.6,0.4,5,0.0088,0.96,0.0967
G-100,50,4.09,Group 3,5,"Yumi Nishikawa, Tommy Wu, Diya Nair, Caiyun, Carter Moore",4.06,0.6,0.4,5,0.0068,0.96,0.105
G-100,50,4.09,Group 4,5,"Fiona Clark, Han Zhang, Tao Wang, Rachel Lee, Jack Foster",4.09,0.4,0.6,5,0.0023,0.96,0.1038
G-100,50,4.09,Group 5,5,"Mia Wong, Ameer Bin Rahman, Neelam Bhatia, Ying Liu, Khalid Rahman",4.08,0.4,0.6,5,0.0041,0.96,0.1038
G-100,50,4.09,Group 6,5,"Siti Maryam, Bradley Huang, Yuanqing, Mia Phillips, Danty Susanto",4.1,0.4,0.6,5,0.0086,0.96,0.1038
G-100,50,4.09,Group 7,5,"Alina Malik, Fay Tan, Owen Hill, Anjali Nair, Aiden Brown",4.1,0.4,0.6,5,0.0164,0.96,0.1278
